InstAddress		Total_Execution	Total_Cycles	Instruction
90000a50		1                   	203                 	MOV   R29, R0
90000a52		1                   	4                   	ADD   R31, R0, 0x00000004
90000a58		1                   	3                   	MOV   R29, R1
90000a5a		1                   	4                   	ADD   R31, R1, 0x00000804
90000a60		1                   	209                 	ST    R0++, R16
90000a62		1                   	12                  	JSR   R31, JMP, 0x00000642
90000a68		1                   	211                 	LD    --R0, R16
90000a6a		1                   	9                   	ST    R0++, R16
90000a6c		1                   	13                  	JSR   R31, JMP, 0x000042cc
90000a72		1                   	211                 	LD    --R0, R16
90000a74		1                   	11                  	JMP   R16, JMP
90000a8a		2544                	7632                	MOVC  0, R23
90000a8c		2544                	27984               	CSNE  R23, R3
90000a90		2544                	7632                	MOV   R3, R23
90000a92		2544                	10176               	ADD   R31, R23, 0x01000000
90000a98		2544                	10176               	XOR   R31, R23, 0x7fffffff
90000a9e		2544                	12720               	MOV   R31, R8, 0x40000000
90000aa4		2544                	7632                	MOV   R3, R6
90000aa6		2544                	25440               	FMUL  R23, R6
90000aa8		2544                	7632                	MOV   R8, R7
90000aaa		2544                	20352               	FSUB  R6, R7
90000aac		2544                	25440               	FMUL  R7, R23
90000aae		2544                	7632                	MOV   R3, R6
90000ab0		2544                	25440               	FMUL  R23, R6
90000ab2		2544                	7632                	MOV   R8, R7
90000ab4		2544                	20352               	FSUB  R6, R7
90000ab6		2544                	25440               	FMUL  R7, R23
90000ab8		2544                	7632                	MOV   R3, R6
90000aba		2544                	25440               	FMUL  R23, R6
90000abc		2544                	7632                	MOV   R8, R7
90000abe		2544                	20352               	FSUB  R6, R7
90000ac0		2544                	25440               	FMUL  R7, R23
90000ac2		2544                	25440               	FMUL  R2, R23
90000ac4		2544                	7632                	ADDC  1, R23
90000ac6		2544                	27984               	JMP   R16, JMP
90000ac8		2544                	22896               	ST    R0++, R16
90000aca		2544                	22896               	ST    R0++, R17
90000acc		2544                	22896               	ST    R0++, R2
90000ace		2544                	22896               	ST    R0++, R3
90000ad0		2544                	22896               	ST    R0++, R6
90000ad2		2544                	22896               	ST    R0++, R7
90000ad4		2544                	22896               	ST    R0++, R8
90000ad6		2544                	7632                	MOV   R8, R2
90000ad8		2544                	7632                	MOV   R9, R3
90000ada		2544                	30528               	JSR   R31, JMP, 0x0000003a
90000ae0		2544                	536784              	LD    --R0, R8
90000ae2		2544                	536784              	LD    --R0, R7
90000ae4		2544                	536784              	LD    --R0, R6
90000ae6		2544                	536784              	LD    --R0, R3
90000ae8		2544                	536784              	LD    --R0, R2
90000aea		2544                	536784              	LD    --R0, R17
90000aec		2544                	536784              	LD    --R0, R16
90000aee		2544                	27984               	JMP   R16, JMP
90000c58		14                  	56                  	COMP  R30, R2, 0x1f
90000c5c		14                  	70                  	JMP   R31, JG, 0x000002a4
90000c62		14                  	42                  	MOV   R19, R10
90000c64		14                  	70                  	ADD   R31, R10, 0x00000000
90000c6a		14                  	42                  	MOV   R2, R11
90000c6c		14                  	70                  	SLL   2, R11
90000c6e		14                  	42                  	ADD   R11, R10
90000c70		14                  	2940                	LD    R10, R11
90000c72		14                  	154                 	JMP   R11, JMP
90000c94		11                  	33                  	MOV   R8, R23
90000c96		11                  	121                 	JMP   R16, JMP
90000cd4		3                   	9                   	MOV   R24, R23
90000cd6		3                   	33                  	JMP   R16, JMP
90000cfc		3                   	9                   	MOV   R3, R23
90000cfe		3                   	12                  	COMP  R30, R2, 0x1f
90000d02		3                   	12                  	JMP   R31, JG, 0x0000034a
90000d08		3                   	9                   	MOV   R19, R10
90000d0a		3                   	12                  	ADD   R31, R10, 0x00000080
90000d10		3                   	9                   	MOV   R2, R11
90000d12		3                   	15                  	SLL   2, R11
90000d14		3                   	9                   	ADD   R11, R10
90000d16		3                   	630                 	LD    R10, R11
90000d18		3                   	33                  	JMP   R11, JMP
90000d3a		3                   	9                   	MOV   R3, R8
90000d3c		3                   	33                  	JMP   R16, JMP
90000d9c		5                   	20                  	COMP  R30, R2, 0x1f
90000da0		5                   	20                  	JMP   R31, JG, 0x000003e8
90000da6		5                   	15                  	MOV   R19, R10
90000da8		5                   	20                  	ADD   R31, R10, 0x00000100
90000dae		5                   	15                  	MOV   R2, R11
90000db0		5                   	25                  	SLL   2, R11
90000db2		5                   	15                  	ADD   R11, R10
90000db4		5                   	1050                	LD    R10, R11
90000db6		5                   	55                  	JMP   R11, JMP
90000dc4		5                   	15                  	MSG   S3, R23
90000dc6		5                   	55                  	JMP   R16, JMP
90001092		1                   	209                 	ST    R0++, R16
90001094		1                   	9                   	ST    R0++, R17
90001096		1                   	3                   	MOV   R1, R17
90001098		1                   	4                   	ADD   R30, R1, 0x1c
9000109c		1                   	213                 	JSR   R31, JMP, 0x00004aa6
900010a2		1                   	203                 	MOV   R19, R11
900010a4		1                   	5                   	ADD   R31, R11, 0x00000200
900010aa		1                   	210                 	LD    R11, R11
900010ac		1                   	3                   	COMPC 0, R11
900010ae		1                   	12                  	JMP   R31, JNE, 0x0000068c
900010dc		1                   	13                  	JSR   R31, JMP, 0x00004ad8
900010e2		1                   	3                   	MOV   R17, R1
900010e4		1                   	211                 	LD    --R0, R17
900010e6		1                   	211                 	LD    --R0, R16
900010e8		1                   	11                  	JMP   R16, JMP
90001136		4989766             	324334990           	DLY
90001138		4989766             	19959141            	DRJ   30, R2
9000113a		4989755             	54887305            	JMP   R16, JMP
90001140		129                 	1161                	ST    R0++, R16
90001142		129                 	1161                	ST    R0++, R17
90001144		129                 	1161                	ST    R0++, R2
90001146		129                 	1161                	ST    R0++, R3
90001148		129                 	1161                	ST    R0++, R4
9000114a		129                 	1161                	ST    R0++, R5
9000114c		129                 	1161                	ST    R0++, R6
9000114e		129                 	1161                	ST    R0++, R22
90001150		129                 	1548                	JSR   R31, JMP, 0x00000920
90001156		129                 	27219               	LD    --R0, R22
90001158		129                 	27219               	LD    --R0, R6
9000115a		129                 	27219               	LD    --R0, R5
