InstAddress		Total_Execution	Total_Cycles	Instruction
90000a50		1                   	203                 	MOV   R29, R0
90000a52		1                   	4                   	ADD   R31, R0, 0x00000004
90000a58		1                   	3                   	MOV   R29, R1
90000a5a		1                   	4                   	ADD   R31, R1, 0x00000804
90000a60		1                   	209                 	ST    R0++, R16
90000a62		1                   	12                  	JSR   R31, JMP, 0x00000642
90000a68		1                   	411                 	LD    --R0, R16
90000a6a		1                   	9                   	ST    R0++, R16
90000a6c		1                   	13                  	JSR   R31, JMP, 0x00002308
90000a72		1                   	211                 	LD    --R0, R16
90000a74		1                   	11                  	JMP   R16, JMP
90000a76		1                   	9                   	ST    R0++, R23
90000a78		1                   	9                   	ST    R0++, R16
90000a7a		1                   	12                  	JSR   R31, JMP, 0x0000069a
90000a80		1                   	211                 	LD    --R0, R16
90000a82		1                   	211                 	LD    --R0, R23
90000a84		1                   	2                   	HALT
90000a8a		8128                	24584               	MOVC  0, R23
90000a8c		8128                	89408               	CSNE  R23, R3
90000a90		8128                	24384               	MOV   R3, R23
90000a92		8128                	32512               	ADD   R31, R23, 0x01000000
90000a98		8128                	32512               	XOR   R31, R23, 0x7fffffff
90000a9e		8128                	40840               	MOV   R31, R8, 0x40000000
90000aa4		8128                	24384               	MOV   R3, R6
90000aa6		8128                	81280               	FMUL  R23, R6
90000aa8		8128                	24384               	MOV   R8, R7
90000aaa		8128                	65024               	FSUB  R6, R7
90000aac		8128                	81280               	FMUL  R7, R23
90000aae		8128                	24384               	MOV   R3, R6
90000ab0		8128                	81280               	FMUL  R23, R6
90000ab2		8128                	24384               	MOV   R8, R7
90000ab4		8128                	65024               	FSUB  R6, R7
90000ab6		8128                	81280               	FMUL  R7, R23
90000ab8		8128                	24384               	MOV   R3, R6
90000aba		8128                	81280               	FMUL  R23, R6
90000abc		8128                	24384               	MOV   R8, R7
90000abe		8128                	65024               	FSUB  R6, R7
90000ac0		8128                	81280               	FMUL  R7, R23
90000ac2		8128                	81280               	FMUL  R2, R23
90000ac4		8128                	24384               	ADDC  1, R23
90000ac6		8128                	89408               	JMP   R16, JMP
90000ac8		8128                	73352               	ST    R0++, R16
90000aca		8128                	73152               	ST    R0++, R17
90000acc		8128                	73152               	ST    R0++, R2
90000ace		8128                	73152               	ST    R0++, R3
90000ad0		8128                	73152               	ST    R0++, R6
90000ad2		8128                	73152               	ST    R0++, R7
90000ad4		8128                	73152               	ST    R0++, R8
90000ad6		8128                	24384               	MOV   R8, R2
90000ad8		8128                	24384               	MOV   R9, R3
90000ada		8128                	97536               	JSR   R31, JMP, 0x0000003a
90000ae0		8128                	1715208             	LD    --R0, R8
90000ae2		8128                	1715008             	LD    --R0, R7
90000ae4		8128                	1715008             	LD    --R0, R6
90000ae6		8128                	1715008             	LD    --R0, R3
90000ae8		8128                	1715008             	LD    --R0, R2
90000aea		8128                	1715008             	LD    --R0, R17
90000aec		8128                	1715008             	LD    --R0, R16
90000aee		8128                	89408               	JMP   R16, JMP
90000c58		20                  	280                 	COMP  R30, R2, 0x1f
90000c5c		20                  	100                 	JMP   R31, JG, 0x000002a4
90000c62		20                  	260                 	MOV   R19, R10
90000c64		20                  	100                 	ADD   R31, R10, 0x00000000
90000c6a		20                  	60                  	MOV   R2, R11
90000c6c		20                  	100                 	SLL   2, R11
90000c6e		20                  	60                  	ADD   R11, R10
90000c70		20                  	4200                	LD    R10, R11
90000c72		20                  	220                 	JMP   R11, JMP
90000c94		13                  	239                 	MOV   R8, R23
90000c96		13                  	143                 	JMP   R16, JMP
90000cd4		7                   	221                 	MOV   R24, R23
90000cd6		7                   	77                  	JMP   R16, JMP
90000cfc		7                   	221                 	MOV   R3, R23
90000cfe		7                   	228                 	COMP  R30, R2, 0x1f
90000d02		7                   	28                  	JMP   R31, JG, 0x0000034a
90000d08		7                   	21                  	MOV   R19, R10
90000d0a		7                   	28                  	ADD   R31, R10, 0x00000080
90000d10		7                   	21                  	MOV   R2, R11
90000d12		7                   	35                  	SLL   2, R11
90000d14		7                   	21                  	ADD   R11, R10
90000d16		7                   	1470                	LD    R10, R11
90000d18		7                   	77                  	JMP   R11, JMP
90000d3a		7                   	221                 	MOV   R3, R8
90000d3c		7                   	77                  	JMP   R16, JMP
90000d9c		7                   	228                 	COMP  R30, R2, 0x1f
90000da0		7                   	228                 	JMP   R31, JG, 0x000003e8
90000da6		7                   	21                  	MOV   R19, R10
90000da8		7                   	28                  	ADD   R31, R10, 0x00000100
90000dae		7                   	21                  	MOV   R2, R11
90000db0		7                   	35                  	SLL   2, R11
90000db2		7                   	21                  	ADD   R11, R10
90000db4		7                   	1470                	LD    R10, R11
90000db6		7                   	77                  	JMP   R11, JMP
90000dc4		7                   	221                 	MSG   S3, R23
90000dc6		7                   	77                  	JMP   R16, JMP
90000ec0		1                   	209                 	ST    R0++, R16
90000ec2		1                   	9                   	ST    R0++, R17
90000ec4		1                   	3                   	MOV   R1, R17
90000ec6		1                   	3                   	ADDC  8, R1
90000ec8		1                   	9                   	ST    R0++, R22
90000eca		1                   	3                   	MOV   R3, R11
90000ecc		1                   	5                   	SRL   3, R11
90000ece		1                   	4                   	ADDX  R11, R11, 0xffff
90000ed2		1                   	9                   	STX   R1, R11, 0xfffc
90000ed6		1                   	3                   	MOV   R2, R22
90000ed8		1                   	4                   	ADDX  R22, R11, 0x8
90000edc		1                   	8                   	ST    R22, R11
90000ede		1                   	204                 	ADDX  R22, R11, 0x4
90000ee2		1                   	3                   	MOVC  0, R10
90000ee4		1                   	8                   	ST    R11, R10
90000ee6		1                   	4                   	ADDX  R22, R11, 0x8
90000eea		1                   	8                   	ST    R11, R22
90000eec		1                   	4                   	ADDX  R22, R11, 0xc
90000ef0		1                   	211                 	LDX   R1, R10, 0xfffc
90000ef4		1                   	8                   	ST    R11, R10
90000ef6		1                   	211                 	LD    --R0, R22
90000ef8		1                   	3                   	MOV   R17, R1
90000efa		1                   	211                 	LD    --R0, R17
